order_id,order_date,region,customer_segment,category,fulfillment_mode,units_sold,unit_price,discount,sales,profit,inventory_on_hand,reorder_point,stockout_flag,processing_hours
1,2025-06-15,Prairies,Corporate,Home,Standard,7,83.58,0,585.06,135.04,129,33,0,6.0
2,2025-02-14,Prairies,Consumer,Apparel,Pickup,4,64.9,0,259.6,82.95,57,23,0,4.6
3,2025-01-26,Atlantic,Corporate,Home,Standard,5,54.27,0,271.35,51.46,143,31,0,4.8
4,2025-10-25,Ontario,Small Business,Health & Beauty,Pickup,6,36.89,0.1,199.21,56.83,174,54,0,6.0
5,2025-06-10,BC,Small Business,Apparel,Pickup,3,54.1,0,162.3,48.78,147,39,0,4.1
6,2025-06-25,Prairies,Small Business,Seasonal,Standard,3,50.25,0.1,135.68,11.05,38,51,1,9.7
7,2025-10-13,Quebec,Small Business,Health & Beauty,Standard,3,15.61,0.1,42.15,11.14,23,37,1,7.3
8,2025-02-01,Quebec,Corporate,Seasonal,Standard,1,41.31,0.05,39.24,6.73,171,42,0,7.4
9,2025-08-25,Ontario,Corporate,Grocery,Pickup,4,23.8,0.2,76.16,0.36,101,45,0,8.7
10,2025-02-11,Prairies,Small Business,Home,Same Day,1,54.47,0.2,43.58,1.49,180,46,0,6.6
11,2025-12-16,Ontario,Consumer,Apparel,Same Day,4,49.49,0.15,168.27,32.78,150,31,0,7.8
12,2025-05-25,Ontario,Small Business,Electronics,Pickup,1,161.36,0,161.36,32.05,131,23,0,4.6
13,2025-12-15,BC,Small Business,Office Supplies,Standard,2,42.33,0.05,80.43,17.73,17,33,1,7.5
14,2025-06-24,Atlantic,Consumer,Health & Beauty,Express,5,28.01,0,140.05,54.95,18,33,0,4.6
15,2025-11-21,Quebec,Corporate,Grocery,Same Day,3,24.97,0.2,59.93,-5.4,122,50,0,5.9
16,2025-02-13,Atlantic,Corporate,Home,Standard,3,86.05,0.2,206.52,12.98,52,53,1,5.7
17,2025-09-28,Atlantic,Corporate,Grocery,Same Day,5,14.32,0,71.6,11.63,138,52,0,6.6
18,2025-11-22,BC,Consumer,Home,Standard,5,27.53,0.15,117.0,15.07,126,42,0,4.2
19,2025-01-15,Quebec,Small Business,Office Supplies,Standard,3,53.78,0,161.34,29.21,89,43,0,7.0
20,2025-04-23,Ontario,Small Business,Electronics,Same Day,4,220.23,0.1,792.83,90.92,0,50,0,5.2
21,2025-11-26,Atlantic,Small Business,Electronics,Standard,4,77.23,0.05,293.47,38.95,162,41,0,4.1
22,2025-07-22,Prairies,Corporate,Apparel,Express,7,36.7,0,256.9,82.07,151,49,0,5.5
23,2025-11-10,BC,Small Business,Office Supplies,Express,2,25.5,0.1,45.9,8.36,204,26,0,5.4
24,2025-08-11,Ontario,Consumer,Office Supplies,Pickup,5,36.48,0.1,164.16,31.71,66,54,0,8.2
25,2025-03-09,Quebec,Small Business,Electronics,Express,2,81.32,0.1,146.38,-2.71,128,28,0,7.6
26,2025-09-26,Atlantic,Small Business,Health & Beauty,Standard,4,14.76,0.2,47.23,8.85,121,27,0,4.3
27,2025-06-16,BC,Corporate,Seasonal,Standard,1,43.49,0,43.49,10.01,48,37,0,5.0
28,2025-02-20,Prairies,Corporate,Health & Beauty,Express,8,31.62,0,252.96,72.95,129,52,0,6.5
29,2025-12-21,Prairies,Corporate,Grocery,Express,1,20.18,0,20.18,3.11,66,55,0,1.6
30,2025-08-18,Prairies,Consumer,Home,Standard,2,83.36,0.15,141.71,17.14,171,39,0,6.3
31,2025-03-21,Quebec,Consumer,Seasonal,Express,3,65.46,0.05,186.56,37.08,101,51,0,10.3
32,2025-12-08,Ontario,Consumer,Office Supplies,Same Day,2,5,0.05,9.5,2.05,81,25,0,6.6
33,2025-01-10,BC,Small Business,Grocery,Express,3,22.54,0,67.62,9.92,16,27,0,5.3
34,2025-02-23,Quebec,Small Business,Electronics,Pickup,7,206.95,0,1448.65,206.7,217,36,0,1.8
35,2025-03-18,BC,Corporate,Health & Beauty,Same Day,2,28.3,0,56.6,22.48,108,24,0,6.6
36,2025-01-09,Atlantic,Small Business,Seasonal,Pickup,7,74.04,0,518.28,113.06,2,41,0,6.5
37,2025-05-18,Ontario,Consumer,Health & Beauty,Same Day,2,26.78,0,53.56,19.85,46,32,0,5.2
38,2025-11-18,BC,Consumer,Grocery,Standard,3,30.78,0,92.34,15.76,64,22,0,9.1
39,2025-01-10,BC,Corporate,Seasonal,Pickup,6,51.82,0,310.92,73.81,209,47,0,5.1
40,2025-10-07,Prairies,Corporate,Office Supplies,Pickup,3,42.97,0,128.91,29.45,180,28,0,8.7
